seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
6,pruned,50.0,250,250,1.0,0,0.0,,10.904,68.6,2
6,sp,50.0,250,250,1.0,0,0.0,,10.904,68.6,0
7,swp,50.0,252,252,1.0,0,0.0,,11.829,95.0,0
7,pruned,50.0,252,252,1.0,0,0.0,,11.829,95.1,0
7,sp,50.0,252,252,1.0,0,0.0,,11.829,95.1,0
8,swp,50.0,249,249,1.0,0,0.0,,10.647,118.6,0
8,pruned,50.0,249,249,1.0,0,0.0,,10.647,120.0,0
8,sp,50.0,249,249,1.0,0,0.0,,10.647,120.0,0
9,swp,50.0,265,265,1.0,0,0.0,,10.46,105.2,0
9,pruned,50.0,265,265,1.0,0,0.0,,10.46,105.4,0
9,sp,50.0,265,265,1.0,0,0.0,,10.46,105.4,0
0,swp,100.0,471,471,1.0,0,0.0,,12.609,116.7,2
0,pruned,100.0,491,491,1.0,0,0.0,,10.332,115.7,3
0,sp,100.0,491,491,1.0,0,0.0,,10.332,115.7,0
1,swp,100.0,519,519,1.0,0,0.0,,13.719,82.5,19
1,pruned,100.0,521,521,1.0,0,0.0,,10.988,78.2,15
1,sp,100.0,521,521,1.0,0,0.0,,10.988,78.2,0
2,swp,100.0,513,513,1.0,0,0.0,,11.571,122.9,10
2,pruned,100.0,493,493,1.0,0,0.0,,10.398,118.8,8
2,sp,100.0,493,493,1.0,0,0.0,,10.398,118.8,0
3,swp,100.0,490,490,1.0,0,0.0,,13.571,122.2,5
3,pruned,100.0,518,518,1.0,0,0.0,,9.884,114.0,2
3,sp,100.0,518,518,1.0,0,0.0,,9.884,114.0,0
4,swp,100.0,480,480,1.0,0,0.0,,12.821,68.8,20
4,pruned,100.0,482,482,1.0,0,0.0,,10.228,67.3,35
4,sp,100.0,482,482,1.0,0,0.0,,10.228,67.3,0
5,swp,100.0,529,529,1.0,0,0.0,,12.612,117.3,14
5,pruned,100.0,515,515,1.0,0,0.0,,10.309,103.1,24
5,sp,100.0,515,515,1.0,0,0.0,,10.309,103.1,0
6,swp,100.0,520,520,1.0,0,0.0,,11.885,84.8,15
6,pruned,100.0,476,476,1.0,0,0.0,,10.189,89.7,26
6,sp,100.0,476,476,1.0,0,0.0,,10.189,89.7,0
7,swp,100.0,540,540,1.0,0,0.0,,12.737,93.6,18
7,pruned,100.0,498,498,1.0,0,0.0,,10.908,98.3,4
7,sp,100.0,498,498,1.0,0,0.0,,10.908,98.3,0
8,swp,100.0,472,472,1.0,0,0.0,,10.708,105.1,4
8,pruned,100.0,491,491,1.0,0,0.0,,10.373,106.8,11
8,sp,100.0,491,491,1.0,0,0.0,,10.373,106.8,0
9,swp,100.0,514,514,1.0,0,0.0,,14.123,92.5,17
9,pruned,100.0,513,513,1.0,0,0.0,,10.476,87.1,10
9,sp,100.0,513,513,1.0,0,0.0,,10.476,87.1,0
0,swp,200.0,1001,1001,1.0,0,0.0,,13.564,118.4,28
0,pruned,200.0,1031,1031,1.0,0,0.0,,10.394,92.1,26
0,sp,200.0,1031,1031,1.0,0,0.0,,10.394,92.1,0
1,swp,200.0,1065,1065,1.0,0,0.0,,13.006,78.6,32
1,pruned,200.0,1041,1041,1.0,0,0.0,,10.635,62.5,46
1,sp,200.0,1041,1041,1.0,0,0.0,,10.635,62.5,0
2,swp,200.0,1027,1027,1.0,0,0.0,,13.031,108.4,42
2,pruned,200.0,1008,1008,1.0,0,0.0,,10.696,98.6,34
