seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
6,pruned,50.0,248,248,1.0,0,0.0,,3.073,151.0,0
6,sp,50.0,248,248,1.0,0,0.0,,3.073,151.0,0
7,swp,50.0,252,252,1.0,0,0.0,,3.048,196.2,0
7,pruned,50.0,252,252,1.0,0,0.0,,3.048,196.2,0
7,sp,50.0,252,252,1.0,0,0.0,,3.048,196.2,0
8,swp,50.0,253,253,1.0,0,0.0,,2.909,276.8,0
8,pruned,50.0,253,253,1.0,0,0.0,,2.909,276.8,0
8,sp,50.0,253,253,1.0,0,0.0,,2.909,276.8,0
9,swp,50.0,265,265,1.0,0,0.0,,3.011,176.1,0
9,pruned,50.0,265,265,1.0,0,0.0,,3.011,176.1,0
9,sp,50.0,265,265,1.0,0,0.0,,3.011,176.1,0
0,swp,100.0,492,492,1.0,0,0.0,,2.974,221.2,0
0,pruned,100.0,492,492,1.0,0,0.0,,2.974,221.2,0
0,sp,100.0,492,492,1.0,0,0.0,,2.974,221.2,0
1,swp,100.0,505,505,1.0,0,0.0,,3.055,182.7,0
1,pruned,100.0,505,505,1.0,0,0.0,,3.055,182.7,0
1,sp,100.0,505,505,1.0,0,0.0,,3.055,182.7,0
2,swp,100.0,514,514,1.0,0,0.0,,3.008,207.0,2
2,pruned,100.0,513,513,1.0,0,0.0,,2.959,204.5,5
2,sp,100.0,513,513,1.0,0,0.0,,2.959,204.5,0
3,swp,100.0,509,509,1.0,0,0.0,,2.927,304.1,0
3,pruned,100.0,509,509,1.0,0,0.0,,2.927,304.1,0
3,sp,100.0,509,509,1.0,0,0.0,,2.927,304.1,0
4,swp,100.0,496,496,1.0,0,0.0,,2.915,241.3,0
4,pruned,100.0,496,496,1.0,0,0.0,,2.915,241.3,0
4,sp,100.0,496,496,1.0,0,0.0,,2.915,241.3,0
5,swp,100.0,504,504,1.0,0,0.0,,3.018,262.6,0
5,pruned,100.0,504,504,1.0,0,0.0,,3.018,262.6,0
5,sp,100.0,504,504,1.0,0,0.0,,3.018,262.6,0
6,swp,100.0,468,468,1.0,0,0.0,,2.91,179.1,0
6,pruned,100.0,468,468,1.0,0,0.0,,2.91,179.1,0
6,sp,100.0,468,468,1.0,0,0.0,,2.91,179.1,0
7,swp,100.0,486,486,1.0,0,0.0,,2.932,170.7,0
7,pruned,100.0,486,486,1.0,0,0.0,,2.932,170.7,0
7,sp,100.0,486,486,1.0,0,0.0,,2.932,170.7,0
8,swp,100.0,509,509,1.0,0,0.0,,2.984,244.9,0
8,pruned,100.0,509,509,1.0,0,0.0,,2.984,244.9,0
8,sp,100.0,509,509,1.0,0,0.0,,2.984,244.9,0
9,swp,100.0,547,547,1.0,0,0.0,,2.976,191.9,0
9,pruned,100.0,547,547,1.0,0,0.0,,2.976,191.9,0
9,sp,100.0,547,547,1.0,0,0.0,,2.976,191.9,0
0,swp,200.0,1017,1017,1.0,0,0.0,,2.962,217.4,2
0,pruned,200.0,1035,1035,1.0,0,0.0,,2.989,203.1,11
0,sp,200.0,1035,1035,1.0,0,0.0,,2.989,203.1,0
1,swp,200.0,1019,1019,1.0,0,0.0,,3.003,170.8,2
1,pruned,200.0,1025,1025,1.0,0,0.0,,2.985,171.4,4
1,sp,200.0,1025,1025,1.0,0,0.0,,2.985,171.4,0
2,swp,200.0,998,998,1.0,0,0.0,,2.929,224.3,4
2,pruned,200.0,981,981,1.0,0,0.0,,2.995,177.7,4
2,sp,200.0,981,981,1.0,0,0.0,,2.995,177.7,0
3,swp,200.0,1041,1041,1.0,0,0.0,,2.97,297.0,0
3,pruned,200.0,1041,1041,1.0,0,0.0,,2.97,297.0,0
3,sp,200.0,1041,1041,1.0,0,0.0,,2.97,297.0,0
