seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
0,swp,5000.0,24809,8470,0.3414,0,0.0,517,3.118,165.0,2742
0,pruned,5000.0,24919,8318,0.3338,0,0.0,318,3.156,163.0,2550
0,sp,5000.0,24830,7443,0.2998,0,0.0,318,2.859,168.9,0
1,swp,5000.0,25183,12923,0.5132,0,0.0,686,3.788,144.8,3317
1,pruned,5000.0,25211,12676,0.5028,0,0.0,539,3.824,150.0,3266
1,sp,5000.0,25031,10953,0.4376,0,0.0,539,3.413,158.9,0
2,swp,5000.0,25031,7036,0.2811,0,0.0,455,2.869,159.7,4133
2,pruned,5000.0,24899,6995,0.2809,0,0.0,133,2.869,154.2,4118
2,sp,5000.0,24725,6192,0.2504,0,0.0,133,2.448,183.1,0
3,swp,5000.0,24979,12247,0.4903,0,0.0,517,3.299,211.9,2847
3,pruned,5000.0,25135,12206,0.4856,0,0.0,307,3.32,227.3,2676
3,sp,5000.0,25013,11271,0.4506,0,0.0,307,2.985,269.6,0
4,swp,5000.0,24777,8381,0.3383,0,0.0,406,3.104,262.3,4040
4,pruned,5000.0,25191,8149,0.3235,0,0.0,102,3.106,275.1,3740
4,sp,5000.0,24923,6014,0.2413,0,0.0,102,2.287,337.0,0
5,swp,5000.0,25274,10958,0.4336,0,0.0,480,3.277,127.4,3212
5,pruned,5000.0,24990,10725,0.4292,0,0.0,368,3.345,134.5,3217
5,sp,5000.0,25090,9465,0.3772,0,0.0,368,2.97,156.5,0
6,swp,5000.0,24866,11153,0.4485,0,0.0,1038,3.633,134.2,3695
6,pruned,5000.0,24970,10064,0.403,0,0.0,164,3.609,146.6,3422
6,sp,5000.0,25076,8087,0.3225,0,0.0,164,2.595,190.4,0
7,swp,5000.0,25066,9895,0.3948,0,0.0,891,3.037,83.0,3500
7,pruned,5000.0,25037,9803,0.3915,0,0.0,259,3.033,87.9,3408
7,sp,5000.0,24863,8199,0.3298,0,0.0,259,2.68,110.5,0
8,swp,5000.0,24864,15149,0.6093,0,0.0,521,4.033,234.2,3953
8,pruned,5000.0,24763,14942,0.6034,0,0.0,192,3.961,257.5,3807
8,sp,5000.0,24992,10887,0.4356,0,0.0,192,3.236,368.9,0
9,swp,5000.0,24924,10704,0.4295,0,0.0,768,3.284,131.1,4006
9,pruned,5000.0,24955,10079,0.4039,0,0.0,297,3.176,145.9,3528
9,sp,5000.0,25024,9136,0.3651,0,0.0,297,2.819,166.4,0
0,swp,10000.0,49405,11448,0.2317,0,0.0,410,2.678,204.1,3146
0,pruned,10000.0,49736,11372,0.2286,0,0.0,323,2.768,208.0,3067
0,sp,10000.0,49875,10033,0.2012,0,0.0,323,2.433,229.6,0
1,swp,10000.0,49445,17088,0.3456,0,0.0,601,3.31,170.4,4069
1,pruned,10000.0,49657,16633,0.335,0,0.0,506,3.271,185.0,4095
1,sp,10000.0,49811,14429,0.2897,0,0.0,506,3.021,203.2,0
2,swp,10000.0,50206,9641,0.192,0,0.0,496,2.377,206.5,4359
2,pruned,10000.0,50000,9772,0.1954,0,0.0,125,2.43,197.9,4476
2,sp,10000.0,50084,8948,0.1787,0,0.0,125,2.102,225.9,0
3,swp,10000.0,50385,17066,0.3387,0,0.0,507,2.798,283.4,2871
3,pruned,10000.0,50291,17062,0.3393,0,0.0,238,2.876,278.4,2993
3,sp,10000.0,50247,15768,0.3138,0,0.0,238,2.661,308.8,0
4,swp,10000.0,50077,12362,0.2469,0,0.0,367,2.611,347.4,4442
4,pruned,10000.0,50686,12162,0.2399,0,0.0,100,2.564,351.3,4644
4,sp,10000.0,49983,9643,0.1929,0,0.0,100,2.11,370.2,0
5,swp,10000.0,50103,14385,0.2871,0,0.0,414,2.912,157.7,3887
5,pruned,10000.0,49936,14277,0.2859,0,0.0,348,3.022,162.8,3656
5,sp,10000.0,50236,12099,0.2408,0,0.0,345,2.641,208.4,0
6,swp,10000.0,49947,14657,0.2935,0,0.0,965,3.22,136.2,3863
6,pruned,10000.0,49888,14238,0.2854,0,0.0,176,3.153,153.8,4151
6,sp,10000.0,50126,11866,0.2367,0,0.0,176,2.402,206.6,0
7,swp,10000.0,50411,13095,0.2598,0,0.0,920,2.678,110.4,4684
7,pruned,10000.0,50076,12848,0.2566,0,0.0,270,2.611,112.5,4521
7,sp,10000.0,50106,11589,0.2313,0,0.0,270,2.37,138.9,0
8,swp,10000.0,49786,19612,0.3939,0,0.0,584,3.606,290.2,4012
8,pruned,10000.0,49938,19473,0.3899,0,0.0,160,3.602,298.6,4438
8,sp,10000.0,50110,16894,0.3371,0,0.0,160,3.03,327.8,0
9,swp,10000.0,49904,13350,0.2675,0,0.0,686,2.772,194.5,4495
9,pruned,10000.0,50081,12783,0.2552,0,0.0,243,2.684,213.7,4602
9,sp,10000.0,49736,12094,0.2432,0,0.0,243,2.478,229.8,0
